JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE,ACCOUNT_DC
JE-26,2019-12-06,1186,-24619.23,1,9,2019-12-01 – 2020-11-28,0,0,1186_C
JE-26,2019-12-06,3142,-13649.97,1,9,2019-12-01 – 2020-11-28,0,0,3142_C
JE-26,2019-12-06,3112,13649.97,1,9,2019-12-01 – 2020-11-28,0,0,3112_D
JE-27,2018-05-21,3221,-32660.28,2,3,2018-05-01 – 2019-04-28,0,0,3221_C
JE-27,2018-05-21,3160,32660.28,2,3,2018-05-01 – 2019-04-28,0,0,3160_D
JE-28,2019-02-14,1163,27253.39,2,8,2019-02-01 – 2020-01-28,0,0,1163_D
JE-28,2019-02-14,1156,-27253.39,2,8,2019-02-01 – 2020-01-28,0,0,1156_C
JE-28,2019-02-14,2157,-49777.76,2,8,2019-02-01 – 2020-01-28,0,0,2157_C
JE-28,2019-02-14,3140,49777.76,2,8,2019-02-01 – 2020-01-28,0,0,3140_D
JE-29,2018-11-23,2123,37226.75,3,6,2018-11-01 – 2019-10-28,0,0,2123_D
JE-29,2018-11-23,3167,-37226.75,3,6,2018-11-01 – 2019-10-28,0,0,3167_C
JE-30,2018-03-23,2149,-14122.89,1,5,2018-03-01 – 2019-02-28,0,0,2149_C
JE-30,2018-03-23,3104,14122.89,1,5,2018-03-01 – 2019-02-28,0,0,3104_D
JE-31,2018-08-12,2154,35590.31,1,4,2018-08-01 – 2019-07-28,0,0,2154_D
JE-31,2018-08-12,2102,-35590.31,1,4,2018-08-01 – 2019-07-28,0,0,2102_C
JE-31,2018-08-12,3149,-26795.7,1,4,2018-08-01 – 2019-07-28,0,0,3149_C
JE-31,2018-08-12,2248,26795.7,1,4,2018-08-01 – 2019-07-28,0,0,2248_D
JE-32,2018-04-27,3167,-17505.32,6,4,2018-04-01 – 2019-03-28,0,0,3167_C
JE-32,2018-04-27,2133,-38147.41,6,4,2018-04-01 – 2019-03-28,0,0,2133_C
JE-32,2018-04-27,3177,17505.32,6,4,2018-04-01 – 2019-03-28,0,0,3177_D
JE-32,2018-04-27,1193,38147.41,6,4,2018-04-01 – 2019-03-28,0,0,1193_D
JE-32,2018-04-27,3134,35033.38,6,4,2018-04-01 – 2019-03-28,0,0,3134_D
JE-32,2018-04-27,2297,-35033.38,6,4,2018-04-01 – 2019-03-28,0,0,2297_C
JE-33,2018-09-19,2272,23519.91,1,6,2018-09-01 – 2019-08-28,0,0,2272_D
JE-33,2018-09-19,1125,-38835.0,1,6,2018-09-01 – 2019-08-28,0,0,1125_C
JE-33,2018-09-19,2279,-23519.91,1,6,2018-09-01 – 2019-08-28,0,0,2279_C
JE-33,2018-09-19,3214,-33559.44,1,6,2018-09-01 – 2019-08-28,0,0,3214_C
JE-33,2018-09-19,1148,33559.44,1,6,2018-09-01 – 2019-08-28,0,0,1148_D
JE-33,2018-09-19,3129,38835.0,1,6,2018-09-01 – 2019-08-28,0,0,3129_D
JE-34,2018-06-16,1139,-44307.21,5,2,2018-06-01 – 2019-05-28,0,0,1139_C
JE-34,2018-06-16,3211,44307.21,5,2,2018-06-01 – 2019-05-28,0,0,3211_D
JE-35,2019-02-05,3214,-11199.91,3,9,2019-02-01 – 2020-01-28,0,0,3214_C
JE-35,2019-02-05,1173,24956.46,3,9,2019-02-01 – 2020-01-28,0,0,1173_D
JE-35,2019-02-05,2101,-24956.46,3,9,2019-02-01 – 2020-01-28,0,0,2101_C
JE-35,2019-02-05,1191,11199.91,3,9,2019-02-01 – 2020-01-28,0,0,1191_D
JE-36,2018-12-04,2257,-1940.47,5,4,2018-12-01 – 2019-11-28,0,0,2257_C
JE-36,2018-12-04,2227,1940.47,5,4,2018-12-01 – 2019-11-28,0,0,2227_D
JE-36,2018-12-04,2257,30519.95,5,4,2018-12-01 – 2019-11-28,0,0,2257_D
JE-36,2018-12-04,3201,-30519.95,5,4,2018-12-01 – 2019-11-28,0,0,3201_C
JE-37,2018-12-16,3222,-26872.92,5,2,2018-12-01 – 2019-11-28,0,0,3222_C
JE-37,2018-12-16,2284,-19160.36,5,2,2018-12-01 – 2019-11-28,0,0,2284_C
JE-37,2018-12-16,2116,26872.92,5,2,2018-12-01 – 2019-11-28,0,0,2116_D
JE-37,2018-12-16,3162,19160.36,5,2,2018-12-01 – 2019-11-28,0,0,3162_D
JE-37,2018-12-16,1191,-28599.17,5,2,2018-12-01 – 2019-11-28,0,0,1191_C
JE-37,2018-12-16,1166,28599.17,5,2,2018-12-01 – 2019-11-28,0,0,1166_D
JE-38,2019-10-15,1185,47901.59,7,5,2019-10-01 – 2020-09-28,0,0,1185_D
JE-38,2019-10-15,2133,-32840.43,7,5,2019-10-01 – 2020-09-28,0,0,2133_C
JE-38,2019-10-15,2104,-20781.45,7,5,2019-10-01 – 2020-09-28,0,0,2104_C
JE-38,2019-10-15,3211,20781.45,7,5,2019-10-01 – 2020-09-28,0,0,3211_D
JE-38,2019-10-15,1130,-47901.59,7,5,2019-10-01 – 2020-09-28,0,0,1130_C
JE-38,2019-10-15,1172,32840.43,7,5,2019-10-01 – 2020-09-28,0,0,1172_D
JE-39,2018-08-26,1184,-39998.94,1,2,2018-08-01 – 2019-07-28,0,0,1184_C
JE-39,2018-08-26,1137,39998.94,1,2,2018-08-01 – 2019-07-28,0,0,1137_D
JE-40,2019-10-07,2204,-35001.76,6,7,2019-10-01 – 2020-09-28,0,0,2204_C
JE-40,2019-10-07,3146,35001.76,6,7,2019-10-01 – 2020-09-28,0,0,3146_D
JE-41,2018-11-03,2110,24233.61,4,1,2018-11-01 – 2019-10-28,0,0,2110_D
JE-41,2018-11-03,2268,10054.94,4,1,2018-11-01 – 2019-10-28,0,0,2268_D
JE-41,2018-11-03,1191,11052.6,4,1,2018-11-01 – 2019-10-28,0,0,1191_D
JE-41,2018-11-03,2254,-11052.6,4,1,2018-11-01 – 2019-10-28,0,0,2254_C
JE-41,2018-11-03,2240,-10054.94,4,1,2018-11-01 – 2019-10-28,0,0,2240_C
JE-41,2018-11-03,3197,-24233.61,4,1,2018-11-01 – 2019-10-28,0,0,3197_C
JE-42,2018-12-12,2298,30510.2,3,8,2018-12-01 – 2019-11-28,0,0,2298_D
JE-42,2018-12-12,3194,-30510.2,3,8,2018-12-01 – 2019-11-28,0,0,3194_C
JE-42,2018-12-12,3100,22818.12,3,8,2018-12-01 – 2019-11-28,0,0,3100_D
JE-42,2018-12-12,1194,-22818.12,3,8,2018-12-01 – 2019-11-28,0,0,1194_C
JE-43,2018-09-21,2169,-20182.08,4,9,2018-09-01 – 2019-08-28,0,0,2169_C
JE-43,2018-09-21,1148,20182.08,4,9,2018-09-01 – 2019-08-28,0,0,1148_D
JE-44,2019-11-18,2281,45648.5,4,8,2019-11-01 – 2020-10-28,0,0,2281_D
JE-44,2019-11-18,2249,-45648.5,4,8,2019-11-01 – 2020-10-28,0,0,2249_C
JE-44,2019-11-18,2124,24649.06,4,8,2019-11-01 – 2020-10-28,0,0,2124_D
JE-44,2019-11-18,3138,-24649.06,4,8,2019-11-01 – 2020-10-28,0,0,3138_C
JE-45,2019-11-11,3193,41576.98,6,3,2019-11-01 – 2020-10-28,0,0,3193_D
JE-45,2019-11-11,2230,-32378.98,6,3,2019-11-01 – 2020-10-28,0,0,2230_C
JE-45,2019-11-11,2161,32378.98,6,3,2019-11-01 – 2020-10-28,0,0,2161_D
JE-45,2019-11-11,2262,-41576.98,6,3,2019-11-01 – 2020-10-28,0,0,2262_C
JE-46,2019-01-25,2235,14864.91,5,6,2019-01-01 – 2020-12-28,0,0,2235_D
JE-46,2019-01-25,2241,-48832.33,5,6,2019-01-01 – 2020-12-28,0,0,2241_C
JE-46,2019-01-25,2172,-49099.33,5,6,2019-01-01 – 2020-12-28,0,0,2172_C
JE-46,2019-01-25,3180,49099.33,5,6,2019-01-01 – 2020-12-28,0,0,3180_D
JE-46,2019-01-25,2211,-14864.91,5,6,2019-01-01 – 2020-12-28,0,0,2211_C
JE-46,2019-01-25,2136,48832.33,5,6,2019-01-01 – 2020-12-28,0,0,2136_D
JE-47,2018-10-11,2105,-35298.13,5,2,2018-10-01 – 2019-09-28,0,0,2105_C
JE-47,2018-10-11,3160,35298.13,5,2,2018-10-01 – 2019-09-28,0,0,3160_D
JE-48,2019-09-26,3198,-27012.49,2,6,2019-09-01 – 2020-08-28,0,0,3198_C
JE-48,2019-09-26,2244,27012.49,2,6,2019-09-01 – 2020-08-28,0,0,2244_D
JE-49,2019-08-17,2163,36281.6,7,4,2019-08-01 – 2020-07-28,0,0,2163_D
JE-49,2019-08-17,1193,14956.56,7,4,2019-08-01 – 2020-07-28,0,0,1193_D
JE-49,2019-08-17,3213,-14956.56,7,4,2019-08-01 – 2020-07-28,0,0,3213_C
JE-49,2019-08-17,3218,-36281.6,7,4,2019-08-01 – 2020-07-28,0,0,3218_C
JE-50,2018-07-31,2106,-34282.77,3,9,2018-07-01 – 2019-06-28,0,0,2106_C
JE-50,2018-07-31,2157,44355.94,3,9,2018-07-01 – 2019-06-28,0,0,2157_D
JE-50,2018-07-31,3184,-44355.94,3,9,2018-07-01 – 2019-06-28,0,0,3184_C
JE-50,2018-07-31,2137,34282.77,3,9,2018-07-01 – 2019-06-28,0,0,2137_D
JE-51,2019-02-20,2162,25382.09,7,4,2019-02-01 – 2020-01-28,0,0,2162_D
JE-51,2019-02-20,2235,-25382.09,7,4,2019-02-01 – 2020-01-28,0,0,2235_C
JE-52,2018-07-28,1156,-22733.89,4,6,2018-07-01 – 2019-06-28,0,0,1156_C
JE-52,2018-07-28,2133,22733.89,4,6,2018-07-01 – 2019-06-28,0,0,2133_D
JE-52,2018-07-28,3207,28587.9,4,6,2018-07-01 – 2019-06-28,0,0,3207_D
JE-52,2018-07-28,3196,-28587.9,4,6,2018-07-01 – 2019-06-28,0,0,3196_C
JE-53,2019-09-10,2217,49400.92,6,3,2019-09-01 – 2020-08-28,0,0,2217_D
JE-53,2019-09-10,2130,11701.97,6,3,2019-09-01 – 2020-08-28,0,0,2130_D
JE-53,2019-09-10,1108,-11701.97,6,3,2019-09-01 – 2020-08-28,0,0,1108_C
JE-53,2019-09-10,2219,-49400.92,6,3,2019-09-01 – 2020-08-28,0,0,2219_C
JE-54,2019-04-17,3201,23081.5,6,2,2019-04-01 – 2020-03-28,0,0,3201_D
JE-54,2019-04-17,2251,-22284.26,6,2,2019-04-01 – 2020-03-28,0,0,2251_C
JE-54,2019-04-17,1142,22284.26,6,2,2019-04-01 – 2020-03-28,0,0,1142_D
JE-54,2019-04-17,2284,-23081.5,6,2,2019-04-01 – 2020-03-28,0,0,2284_C
JE-54,2019-04-17,1186,47947.57,6,2,2019-04-01 – 2020-03-28,0,0,1186_D
JE-54,2019-04-17,1121,-47947.57,6,2,2019-04-01 – 2020-03-28,0,0,1121_C
JE-55,2019-10-05,2154,-6534.12,7,8,2019-10-01 – 2020-09-28,0,0,2154_C
JE-55,2019-10-05,1104,6534.12,7,8,2019-10-01 – 2020-09-28,0,0,1104_D
JE-55,2019-10-05,1194,-10592.94,7,8,2019-10-01 – 2020-09-28,0,0,1194_C
JE-55,2019-10-05,1193,10592.94,7,8,2019-10-01 – 2020-09-28,0,0,1193_D
JE-55,2019-10-05,1162,-4171.69,7,8,2019-10-01 – 2020-09-28,0,0,1162_C
JE-55,2019-10-05,2101,4171.69,7,8,2019-10-01 – 2020-09-28,0,0,2101_D
JE-56,2019-10-25,2294,37261.12,3,9,2019-10-01 – 2020-09-28,0,0,2294_D
JE-56,2019-10-25,3111,-37261.12,3,9,2019-10-01 – 2020-09-28,0,0,3111_C
JE-57,2018-02-20,2189,23567.11,3,3,2018-02-01 – 2019-01-28,0,0,2189_D
JE-57,2018-02-20,2274,49776.56,3,3,2018-02-01 – 2019-01-28,0,0,2274_D
JE-57,2018-02-20,1124,-49776.56,3,3,2018-02-01 – 2019-01-28,0,0,1124_C
JE-57,2018-02-20,1193,-23567.11,3,3,2018-02-01 – 2019-01-28,0,0,1193_C
JE-58,2018-03-02,3214,-26324.32,2,2,2018-03-01 – 2019-02-28,0,0,3214_C
JE-58,2018-03-02,2130,8893.64,2,2,2018-03-01 – 2019-02-28,0,0,2130_D
JE-58,2018-03-02,3111,26324.32,2,2,2018-03-01 – 2019-02-28,0,0,3111_D
JE-58,2018-03-02,2160,-8893.64,2,2,2018-03-01 – 2019-02-28,0,0,2160_C
JE-59,2019-06-13,3188,-16664.42,5,8,2019-06-01 – 2020-05-28,0,0,3188_C
JE-59,2019-06-13,2109,16664.42,5,8,2019-06-01 – 2020-05-28,0,0,2109_D
JE-60,2018-06-22,3151,-9460.73,2,9,2018-06-01 – 2019-05-28,0,0,3151_C
JE-60,2018-06-22,2132,13270.74,2,9,2018-06-01 – 2019-05-28,0,0,2132_D
JE-60,2018-06-22,1114,-13270.74,2,9,2018-06-01 – 2019-05-28,0,0,1114_C
JE-60,2018-06-22,3149,9460.73,2,9,2018-06-01 – 2019-05-28,0,0,3149_D
JE-60,2018-06-22,1119,36010.86,2,9,2018-06-01 – 2019-05-28,0,0,1119_D
JE-60,2018-06-22,3117,-36010.86,2,9,2018-06-01 – 2019-05-28,0,0,3117_C
JE-61,2019-06-20,3141,48044.89,7,6,2019-06-01 – 2020-05-28,0,0,3141_D
JE-61,2019-06-20,2150,-9422.94,7,6,2019-06-01 – 2020-05-28,0,0,2150_C
JE-61,2019-06-20,2159,12301.08,7,6,2019-06-01 – 2020-05-28,0,0,2159_D
JE-61,2019-06-20,2157,-12301.08,7,6,2019-06-01 – 2020-05-28,0,0,2157_C
JE-61,2019-06-20,1191,-48044.89,7,6,2019-06-01 – 2020-05-28,0,0,1191_C
JE-61,2019-06-20,3191,9422.94,7,6,2019-06-01 – 2020-05-28,0,0,3191_D
JE-62,2019-03-31,3207,27013.57,3,7,2019-03-01 – 2020-02-28,0,0,3207_D
JE-62,2019-03-31,2162,-27013.57,3,7,2019-03-01 – 2020-02-28,0,0,2162_C
JE-62,2019-03-31,1188,2069.34,3,7,2019-03-01 – 2020-02-28,0,0,1188_D
JE-62,2019-03-31,2250,-2069.34,3,7,2019-03-01 – 2020-02-28,0,0,2250_C
JE-63,2018-10-21,1164,-36940.69,2,2,2018-10-01 – 2019-09-28,0,0,1164_C
JE-63,2018-10-21,3110,-18148.37,2,2,2018-10-01 – 2019-09-28,0,0,3110_C
JE-63,2018-10-21,3173,24016.74,2,2,2018-10-01 – 2019-09-28,0,0,3173_D
JE-63,2018-10-21,2169,36940.69,2,2,2018-10-01 – 2019-09-28,0,0,2169_D
JE-63,2018-10-21,2114,-24016.74,2,2,2018-10-01 – 2019-09-28,0,0,2114_C
JE-63,2018-10-21,2286,18148.37,2,2,2018-10-01 – 2019-09-28,0,0,2286_D
JE-64,2019-02-27,2124,-33298.31,6,9,2019-02-01 – 2020-01-28,0,0,2124_C
JE-64,2019-02-27,3140,33298.31,6,9,2019-02-01 – 2020-01-28,0,0,3140_D
JE-65,2018-01-28,2195,48940.68,7,6,2018-01-01 – 2019-12-28,0,0,2195_D
JE-65,2018-01-28,2253,1572.99,7,6,2018-01-01 – 2019-12-28,0,0,2253_D
JE-65,2018-01-28,2153,-48940.68,7,6,2018-01-01 – 2019-12-28,0,0,2153_C
JE-65,2018-01-28,1153,-1572.99,7,6,2018-01-01 – 2019-12-28,0,0,1153_C
JE-65,2018-01-28,1173,-30082.82,7,6,2018-01-01 – 2019-12-28,0,0,1173_C
JE-65,2018-01-28,2265,30082.82,7,6,2018-01-01 – 2019-12-28,0,0,2265_D
JE-66,2018-07-24,2263,-33173.97,3,7,2018-07-01 – 2019-06-28,0,0,2263_C
JE-66,2018-07-24,2250,13821.05,3,7,2018-07-01 – 2019-06-28,0,0,2250_D
JE-66,2018-07-24,1133,33173.97,3,7,2018-07-01 – 2019-06-28,0,0,1133_D
JE-66,2018-07-24,1181,-13821.05,3,7,2018-07-01 – 2019-06-28,0,0,1181_C
JE-66,2018-07-24,2264,46972.71,3,7,2018-07-01 – 2019-06-28,0,0,2264_D
JE-66,2018-07-24,2225,-46972.71,3,7,2018-07-01 – 2019-06-28,0,0,2225_C
JE-67,2018-01-17,1154,31228.85,6,3,2018-01-01 – 2019-12-28,0,0,1154_D
JE-67,2018-01-17,2226,-26925.86,6,3,2018-01-01 – 2019-12-28,0,0,2226_C
JE-67,2018-01-17,2194,-31228.85,6,3,2018-01-01 – 2019-12-28,0,0,2194_C
JE-67,2018-01-17,2234,26925.86,6,3,2018-01-01 – 2019-12-28,0,0,2234_D
JE-68,2018-02-09,2248,49905.94,5,5,2018-02-01 – 2019-01-28,0,0,2248_D
JE-68,2018-02-09,3110,-49905.94,5,5,2018-02-01 – 2019-01-28,0,0,3110_C
JE-69,2019-01-15,3191,-41069.91,7,8,2019-01-01 – 2020-12-28,0,0,3191_C
JE-69,2019-01-15,1173,41069.91,7,8,2019-01-01 – 2020-12-28,0,0,1173_D
JE-70,2019-04-04,1193,-44282.21,3,3,2019-04-01 – 2020-03-28,0,0,1193_C
JE-70,2019-04-04,2175,44282.21,3,3,2019-04-01 – 2020-03-28,0,0,2175_D
