ACCOUNT,AMOUNT,SOURCE,Fabricated_JE,TYPE,ACCOUNT_DC,D/C,AMOUNT_POSITIF
2117,5073.13,7,0,0,2117_D,D,5073.13
1136,-2966.84,7,0,0,1136_C,C,2966.84
1141,2966.84,7,0,0,1141_D,D,2966.84
2107,-1992.09,7,0,0,2107_C,C,1992.09
2128,1992.09,7,0,0,2128_D,D,1992.09
2263,42332.76,4,0,0,2263_D,D,42332.76
1136,44637.05,4,0,0,1136_D,D,44637.05
2263,-42332.76,4,0,0,2263_C,C,42332.76
2165,31816.52,4,0,0,2165_D,D,31816.52
2154,-31816.52,4,0,0,2154_C,C,31816.52
3210,-44637.05,4,0,0,3210_C,C,44637.05
2187,-13692.27,4,0,0,2187_C,C,13692.27
1186,19779.66,4,0,0,1186_D,D,19779.66
1162,-19779.66,4,0,0,1162_C,C,19779.66
2175,34142.11,4,0,0,2175_D,D,34142.11
2122,13692.27,4,0,0,2122_D,D,13692.27
1120,-34142.11,4,0,0,1120_C,C,34142.11
3145,29210.93,2,0,0,3145_D,D,29210.93
1193,-29210.93,2,0,0,1193_C,C,29210.93
3125,-6614.08,1,0,0,3125_C,C,6614.08
1198,44080.79,1,0,0,1198_D,D,44080.79
2166,6614.08,1,0,0,2166_D,D,6614.08
2123,-35255.12,1,0,0,2123_C,C,35255.12
2103,-44080.79,1,0,0,2103_C,C,44080.79
2175,35255.12,1,0,0,2175_D,D,35255.12
3201,35199.56,1,0,0,3201_D,D,35199.56
3194,-35199.56,1,0,0,3194_C,C,35199.56
2173,-27444.46,1,0,0,2173_C,C,27444.46
2180,27444.46,1,0,0,2180_D,D,27444.46
2236,19665.88,2,0,0,2236_D,D,19665.88
1104,-44862.2,2,0,0,1104_C,C,44862.2
2237,-43316.8,2,0,0,2237_C,C,43316.8
2159,44862.2,2,0,0,2159_D,D,44862.2
2269,43316.8,2,0,0,2269_D,D,43316.8
2109,-19665.88,2,0,0,2109_C,C,19665.88
1139,13491.17,1,0,0,1139_D,D,13491.17
1198,-13491.17,1,0,0,1198_C,C,13491.17
3131,13529.85,1,0,0,3131_D,D,13529.85
3199,46684.67,1,0,0,3199_D,D,46684.67
1103,-46684.67,1,0,0,1103_C,C,46684.67
3125,-13529.85,1,0,0,3125_C,C,13529.85
3224,18798.48,6,0,0,3224_D,D,18798.48
3146,-20125.18,6,0,0,3146_C,C,20125.18
2261,20125.18,6,0,0,2261_D,D,20125.18
2229,-18798.48,6,0,0,2229_C,C,18798.48
1126,-25447.48,6,0,0,1126_C,C,25447.48
2142,25447.48,6,0,0,2142_D,D,25447.48
2292,35047.08,1,0,0,2292_D,D,35047.08
1161,-35047.08,1,0,0,1161_C,C,35047.08
1122,6439.66,5,0,0,1122_D,D,6439.66
3121,-7624.42,5,0,0,3121_C,C,7624.42
2207,-10478.82,5,0,0,2207_C,C,10478.82
2178,7624.42,5,0,0,2178_D,D,7624.42
2264,10478.82,5,0,0,2264_D,D,10478.82
3165,-6439.66,5,0,0,3165_C,C,6439.66
1191,2140.53,5,0,0,1191_D,D,2140.53
1115,-2140.53,5,0,0,1115_C,C,2140.53
2168,12767.63,5,0,0,2168_D,D,12767.63
3136,-12767.63,5,0,0,3136_C,C,12767.63
1174,25923.07,4,0,0,1174_D,D,25923.07
3224,11462.63,4,0,0,3224_D,D,11462.63
3187,-25923.07,4,0,0,3187_C,C,25923.07
2141,-35098.11,4,0,0,2141_C,C,35098.11
2164,-11462.63,4,0,0,2164_C,C,11462.63
1181,35098.11,4,0,0,1181_D,D,35098.11
2190,-39222.8,6,0,0,2190_C,C,39222.8
2282,39222.8,6,0,0,2282_D,D,39222.8
2147,-20791.04,6,0,0,2147_C,C,20791.04
2130,20791.04,6,0,0,2130_D,D,20791.04
1168,-3942.54,6,0,0,1168_C,C,3942.54
2142,3942.54,6,0,0,2142_D,D,3942.54
2210,7337.03,3,0,0,2210_D,D,7337.03
2225,-7337.03,3,0,0,2225_C,C,7337.03
3188,-41678.19,1,0,0,3188_C,C,41678.19
3149,41678.19,1,0,0,3149_D,D,41678.19
1143,-38307.57,4,0,0,1143_C,C,38307.57
2281,47190.28,4,0,0,2281_D,D,47190.28
1115,-47190.28,4,0,0,1115_C,C,47190.28
1180,38307.57,4,0,0,1180_D,D,38307.57
2190,21091.73,2,0,0,2190_D,D,21091.73
2112,-21091.73,2,0,0,2112_C,C,21091.73
1162,-43373.08,2,0,0,1162_C,C,43373.08
2110,43373.08,2,0,0,2110_D,D,43373.08
3214,34305.24,2,0,0,3214_D,D,34305.24
2108,-34305.24,2,0,0,2108_C,C,34305.24
3124,33501.68,2,0,0,3124_D,D,33501.68
3189,-33501.68,2,0,0,3189_C,C,33501.68
3187,26196.83,6,0,0,3187_D,D,26196.83
1131,46584.54,6,0,0,1131_D,D,46584.54
3145,-46584.54,6,0,0,3145_C,C,46584.54
3139,-26196.83,6,0,0,3139_C,C,26196.83
2279,11039.34,3,0,0,2279_D,D,11039.34
2139,8469.54,3,0,0,2139_D,D,8469.54
2138,-8469.54,3,0,0,2138_C,C,8469.54
3146,26596.78,3,0,0,3146_D,D,26596.78
3107,-11039.34,3,0,0,3107_C,C,11039.34
2194,-26596.78,3,0,0,2194_C,C,26596.78
3186,31579.12,4,0,0,3186_D,D,31579.12
2253,-31579.12,4,0,0,2253_C,C,31579.12
2136,48124.8,4,0,0,2136_D,D,48124.8
3118,-48124.8,4,0,0,3118_C,C,48124.8
1164,-21792.69,4,0,0,1164_C,C,21792.69
1148,21792.69,4,0,0,1148_D,D,21792.69
1187,-31924.1,7,0,0,1187_C,C,31924.1
3160,31924.1,7,0,0,3160_D,D,31924.1
1184,10960.57,4,0,0,1184_D,D,10960.57
3160,-10960.57,4,0,0,3160_C,C,10960.57
2164,-4529.75,4,0,0,2164_C,C,4529.75
2164,4529.75,4,0,0,2164_D,D,4529.75
2120,23854.16,4,0,0,2120_D,D,23854.16
3101,41551.02,4,0,0,3101_D,D,41551.02
2217,-2661.15,4,0,0,2217_C,C,2661.15
3208,2661.15,4,0,0,3208_D,D,2661.15
2253,-23854.16,4,0,0,2253_C,C,23854.16
1169,-41551.02,4,0,0,1169_C,C,41551.02
1155,-21005.85,4,0,0,1155_C,C,21005.85
2214,-36719.84,4,0,0,2214_C,C,36719.84
2241,2434.47,4,0,0,2241_D,D,2434.47
3118,-2434.47,4,0,0,3118_C,C,2434.47
2107,21005.85,4,0,0,2107_D,D,21005.85
1112,36719.84,4,0,0,1112_D,D,36719.84
1108,45687.09,1,0,0,1108_D,D,45687.09
3201,-20347.24,1,0,0,3201_C,C,20347.24
3194,-45687.09,1,0,0,3194_C,C,45687.09
1108,26218.83,1,0,0,1108_D,D,26218.83
3119,20347.24,1,0,0,3119_D,D,20347.24
2151,-26218.83,1,0,0,2151_C,C,26218.83
3135,49834.5,1,0,0,3135_D,D,49834.5
1161,-49834.5,1,0,0,1161_C,C,49834.5
3138,21474.89,7,0,0,3138_D,D,21474.89
3195,-21474.89,7,0,0,3195_C,C,21474.89
3102,-36227.63,5,0,0,3102_C,C,36227.63
3108,36227.63,5,0,0,3108_D,D,36227.63
1174,-32179.47,5,0,0,1174_C,C,32179.47
3112,32179.47,5,0,0,3112_D,D,32179.47
3164,48661.15,5,0,0,3164_D,D,48661.15
2237,-48661.15,5,0,0,2237_C,C,48661.15
3168,-22445.89,7,0,0,3168_C,C,22445.89
1174,-23088.06,7,0,0,1174_C,C,23088.06
2293,22445.89,7,0,0,2293_D,D,22445.89
1125,23088.06,7,0,0,1125_D,D,23088.06
2294,46257.94,7,0,0,2294_D,D,46257.94
2156,-46257.94,7,0,0,2156_C,C,46257.94
3227,-20694.75,2,0,0,3227_C,C,20694.75
1186,10607.74,2,0,0,1186_D,D,10607.74
2280,7020.2,2,0,0,2280_D,D,7020.2
2246,20694.75,2,0,0,2246_D,D,20694.75
3115,-10607.74,2,0,0,3115_C,C,10607.74
2115,-7020.2,2,0,0,2115_C,C,7020.2
2137,-21594.21,3,0,0,2137_C,C,21594.21
2207,47840.42,3,0,0,2207_D,D,47840.42
3177,-47840.42,3,0,0,3177_C,C,47840.42
2205,47352.84,3,0,0,2205_D,D,47352.84
3122,21594.21,3,0,0,3122_D,D,21594.21
1142,-47352.84,3,0,0,1142_C,C,47352.84
1148,3517.67,4,0,0,1148_D,D,3517.67
2205,45284.0,4,0,0,2205_D,D,45284.0
2199,-3517.67,4,0,0,2199_C,C,3517.67
3195,-45284.0,4,0,0,3195_C,C,45284.0
1123,-26083.79,6,0,0,1123_C,C,26083.79
2253,26083.79,6,0,0,2253_D,D,26083.79
3223,38277.85,6,0,0,3223_D,D,38277.85
3188,-23848.05,6,0,0,3188_C,C,23848.05
2230,-38277.85,6,0,0,2230_C,C,38277.85
3137,23848.05,6,0,0,3137_D,D,23848.05
2241,47626.47,6,0,0,2241_D,D,47626.47
2215,-47626.47,6,0,0,2215_C,C,47626.47
2113,39263.71,4,0,0,2113_D,D,39263.71
3108,15423.99,4,0,0,3108_D,D,15423.99
3163,-15423.99,4,0,0,3163_C,C,15423.99
2100,-39263.71,4,0,0,2100_C,C,39263.71
2263,-31741.32,7,0,0,2263_C,C,31741.32
1165,31741.32,7,0,0,1165_D,D,31741.32
2276,7455.73,7,0,0,2276_D,D,7455.73
2175,-7455.73,7,0,0,2175_C,C,7455.73
2224,-36838.75,7,0,0,2224_C,C,36838.75
3165,36838.75,7,0,0,3165_D,D,36838.75
2166,19250.81,7,0,0,2166_D,D,19250.81
3185,-19250.81,7,0,0,3185_C,C,19250.81
2271,2485.47,1,0,0,2271_D,D,2485.47
2112,-28871.21,1,0,0,2112_C,C,28871.21
1189,10753.61,1,0,0,1189_D,D,10753.61
2193,-2485.47,1,0,0,2193_C,C,2485.47
1157,-10753.61,1,0,0,1157_C,C,10753.61
2142,28871.21,1,0,0,2142_D,D,28871.21
1198,18304.07,6,0,0,1198_D,D,18304.07
1170,-18304.07,6,0,0,1170_C,C,18304.07
1116,-1200.58,6,0,0,1116_C,C,1200.58
3224,1200.58,6,0,0,3224_D,D,1200.58
2293,30808.37,4,0,0,2293_D,D,30808.37
2247,-30808.37,4,0,0,2247_C,C,30808.37
1186,-30368.83,4,0,0,1186_C,C,30368.83
3156,30368.83,4,0,0,3156_D,D,30368.83
3162,27446.84,1,0,0,3162_D,D,27446.84
2200,22458.99,1,0,0,2200_D,D,22458.99
3221,-22635.24,1,0,0,3221_C,C,22635.24
2190,22635.24,1,0,0,2190_D,D,22635.24
2198,-27446.84,1,0,0,2198_C,C,27446.84
2218,-22458.99,1,0,0,2218_C,C,22458.99
2157,-45867.33,2,0,0,2157_C,C,45867.33
1167,-45768.94,2,0,0,1167_C,C,45768.94
1118,45867.33,2,0,0,1118_D,D,45867.33
1124,40291.75,2,0,0,1124_D,D,40291.75
2289,-40291.75,2,0,0,2289_C,C,40291.75
2269,45768.94,2,0,0,2269_D,D,45768.94
1182,25654.28,2,0,0,1182_D,D,25654.28
1131,-25654.28,2,0,0,1131_C,C,25654.28
2173,2189.77,7,0,0,2173_D,D,2189.77
2196,29673.4,7,0,0,2196_D,D,29673.4
2260,-2189.77,7,0,0,2260_C,C,2189.77
2149,-29673.4,7,0,0,2149_C,C,29673.4
1171,-34083.14,7,0,0,1171_C,C,34083.14
3168,34083.14,7,0,0,3168_D,D,34083.14
2148,-40361.54,2,0,0,2148_C,C,40361.54
2137,17272.54,2,0,0,2137_D,D,17272.54
1133,-17272.54,2,0,0,1133_C,C,17272.54
1135,41951.59,2,0,0,1135_D,D,41951.59
1192,-41951.59,2,0,0,1192_C,C,41951.59
3122,40361.54,2,0,0,3122_D,D,40361.54
2104,-1187.22,6,0,0,2104_C,C,1187.22
3149,1187.22,6,0,0,3149_D,D,1187.22
2131,-3896.65,6,0,0,2131_C,C,3896.65
3167,-17136.97,6,0,0,3167_C,C,17136.97
2220,3896.65,6,0,0,2220_D,D,3896.65
2119,17136.97,6,0,0,2119_D,D,17136.97
1130,3257.36,5,0,0,1130_D,D,3257.36
2171,-21162.91,5,0,0,2171_C,C,21162.91
2163,15933.83,5,0,0,2163_D,D,15933.83
2214,-3257.36,5,0,0,2214_C,C,3257.36
2256,-15933.83,5,0,0,2256_C,C,15933.83
2213,21162.91,5,0,0,2213_D,D,21162.91
3194,41694.69,3,0,0,3194_D,D,41694.69
1172,-41694.69,3,0,0,1172_C,C,41694.69
3171,28074.2,3,0,0,3171_D,D,28074.2
1186,15468.91,3,0,0,1186_D,D,15468.91
3157,-15468.91,3,0,0,3157_C,C,15468.91
2244,14816.77,3,0,0,2244_D,D,14816.77
3208,-14816.77,3,0,0,3208_C,C,14816.77
1143,-28074.2,3,0,0,1143_C,C,28074.2
1120,29924.88,3,0,0,1120_D,D,29924.88
3193,-40645.35,3,0,0,3193_C,C,40645.35
2270,40645.35,3,0,0,2270_D,D,40645.35
2115,-29924.88,3,0,0,2115_C,C,29924.88
2257,44704.31,3,0,0,2257_D,D,44704.31
2256,-44704.31,3,0,0,2256_C,C,44704.31
1182,-14606.73,3,0,0,1182_C,C,14606.73
2219,-21229.71,3,0,0,2219_C,C,21229.71
2222,14606.73,3,0,0,2222_D,D,14606.73
2273,21229.71,3,0,0,2273_D,D,21229.71
2199,-27415.89,1,0,0,2199_C,C,27415.89
2272,-33662.19,1,0,0,2272_C,C,33662.19
2100,27415.89,1,0,0,2100_D,D,27415.89
1187,33662.19,1,0,0,1187_D,D,33662.19
2181,2201.62,1,0,0,2181_D,D,2201.62
2157,-2201.62,1,0,0,2157_C,C,2201.62
2277,-45362.52,4,0,0,2277_C,C,45362.52
2240,-45974.05,4,0,0,2240_C,C,45974.05
1172,45362.52,4,0,0,1172_D,D,45362.52
2233,45974.05,4,0,0,2233_D,D,45974.05
2224,-13683.93,2,0,0,2224_C,C,13683.93
2126,13683.93,2,0,0,2126_D,D,13683.93
2204,-2131.4,4,0,0,2204_C,C,2131.4
2171,2131.4,4,0,0,2171_D,D,2131.4
3205,-22232.33,4,0,0,3205_C,C,22232.33
2274,22232.33,4,0,0,2274_D,D,22232.33
3169,-8515.22,1,0,0,3169_C,C,8515.22
1109,8515.22,1,0,0,1109_D,D,8515.22
1186,15387.81,1,0,0,1186_D,D,15387.81
2286,40975.2,1,0,0,2286_D,D,40975.2
3187,-40975.2,1,0,0,3187_C,C,40975.2
3132,-15387.81,1,0,0,3132_C,C,15387.81
1136,-4912.93,4,0,0,1136_C,C,4912.93
2207,30673.85,4,0,0,2207_D,D,30673.85
2259,-30673.85,4,0,0,2259_C,C,30673.85
2258,4912.93,4,0,0,2258_D,D,4912.93
3139,-35505.37,4,0,0,3139_C,C,35505.37
2256,35505.37,4,0,0,2256_D,D,35505.37
2248,-29001.11,2,0,0,2248_C,C,29001.11
2231,29001.11,2,0,0,2231_D,D,29001.11
2104,-29887.07,5,0,0,2104_C,C,29887.07
1165,29887.07,5,0,0,1165_D,D,29887.07
2200,-48757.08,4,0,0,2200_C,C,48757.08
2239,48757.08,4,0,0,2239_D,D,48757.08
3109,46101.14,4,0,0,3109_D,D,46101.14
1124,-46101.14,4,0,0,1124_C,C,46101.14
3124,-40423.36,4,0,0,3124_C,C,40423.36
