JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE
JE-21,2024-06-19,1151,5897.13,F,C6,2024-01-01 – 2024-12-31,0,0
JE-21,2024-06-19,5121,-5897.13,F,C6,2024-01-01 – 2024-12-31,0,0
JE-22,2024-12-29,2264,2927.76,C,C8,2024-01-01 – 2024-12-31,0,0
JE-22,2024-12-29,4010,-2927.76,C,C8,2024-01-01 – 2024-12-31,0,0
JE-23,2024-08-19,5121,3658.95,E,C9,2024-01-01 – 2024-12-31,0,0
JE-23,2024-08-19,1104,-3658.95,E,C9,2024-01-01 – 2024-12-31,0,0
JE-24,2024-08-23,1104,6634.77,G,C1,2024-01-01 – 2024-12-31,0,0
JE-24,2024-08-23,1104,-6634.77,G,C1,2024-01-01 – 2024-12-31,0,0
JE-25,2024-01-31,3106,3639.0,C,C9,2024-01-01 – 2024-12-31,1,1
JE-25,2024-01-31,5121,-4130.0,C,C9,2024-01-01 – 2024-12-31,1,1
JE-26,2024-06-09,6061,8550.89,B,C3,2024-01-01 – 2024-12-31,0,0
JE-26,2024-06-09,4010,-8550.89,B,C3,2024-01-01 – 2024-12-31,0,0
JE-27,2024-09-13,2264,1187.42,B,C8,2024-01-01 – 2024-12-31,1,1
JE-27,2024-09-13,5121,-1178.49,B,C8,2024-01-01 – 2024-12-31,1,1
JE-28,2024-02-01,1151,3540.31,G,C4,2024-01-01 – 2024-12-31,0,0
JE-28,2024-02-01,2264,-3540.31,G,C4,2024-01-01 – 2024-12-31,0,0
JE-29,2024-09-19,6061,9796.86,D,C1,2024-01-01 – 2024-12-31,0,0
JE-29,2024-09-19,1000,-9796.86,D,C1,2024-01-01 – 2024-12-31,0,0
JE-30,2024-02-16,6061,3910.87,B,C9,2024-01-01 – 2024-12-31,1,1
JE-30,2024-02-16,4010,-3914.81,B,C9,2024-01-01 – 2024-12-31,1,1
JE-31,2024-12-11,1104,9165.16,F,C5,2024-01-01 – 2024-12-31,1,1
JE-31,2024-12-11,5121,-9487.59,F,C5,2024-01-01 – 2024-12-31,1,1
JE-32,2024-02-25,6061,4510.99,C,C8,2024-01-01 – 2024-12-31,0,0
JE-32,2024-02-25,3106,-4510.99,C,C8,2024-01-01 – 2024-12-31,0,0
JE-33,2024-11-23,6061,7835.75,F,C8,2024-01-01 – 2024-12-31,0,0
JE-33,2024-11-23,1198,-7835.75,F,C8,2024-01-01 – 2024-12-31,0,0
JE-34,2024-07-02,1198,8034.52,E,C9,2024-01-01 – 2024-12-31,0,0
JE-34,2024-07-02,4010,-8034.52,E,C9,2024-01-01 – 2024-12-31,0,0
JE-35,2024-03-14,1151,7600.74,F,C1,2024-01-01 – 2024-12-31,0,0
JE-35,2024-03-14,2264,-7600.74,F,C1,2024-01-01 – 2024-12-31,0,0
JE-36,2024-11-29,3106,2493.91,A,C3,2024-01-01 – 2024-12-31,0,0
JE-36,2024-11-29,1151,-2493.91,A,C3,2024-01-01 – 2024-12-31,0,0
JE-37,2024-08-18,6061,8591.05,D,C2,2024-01-01 – 2024-12-31,0,0
JE-37,2024-08-18,1151,-8591.05,D,C2,2024-01-01 – 2024-12-31,0,0
JE-38,2024-05-16,1151,8830.63,B,C6,2024-01-01 – 2024-12-31,0,0
JE-38,2024-05-16,3106,-8830.63,B,C6,2024-01-01 – 2024-12-31,0,0
JE-39,2024-10-10,1151,9231.57,G,C7,2024-01-01 – 2024-12-31,0,0
JE-39,2024-10-10,5121,-9231.57,G,C7,2024-01-01 – 2024-12-31,0,0
JE-40,2024-10-05,1151,3046.54,A,C4,2024-01-01 – 2024-12-31,0,0
JE-40,2024-10-05,5121,-3046.54,A,C4,2024-01-01 – 2024-12-31,0,0
JE-41,2024-11-23,1104,8281.62,F,C6,2024-01-01 – 2024-12-31,0,0
JE-41,2024-11-23,1104,-8281.62,F,C6,2024-01-01 – 2024-12-31,0,0
JE-42,2024-10-03,3106,2789.57,F,C7,2024-01-01 – 2024-12-31,0,0
JE-42,2024-10-03,1198,-2789.57,F,C7,2024-01-01 – 2024-12-31,0,0
JE-43,2024-11-03,4010,3593.27,D,C3,2024-01-01 – 2024-12-31,0,0
JE-43,2024-11-03,3106,-3593.27,D,C3,2024-01-01 – 2024-12-31,0,0
JE-44,2024-11-13,3106,9926.77,B,C7,2024-01-01 – 2024-12-31,0,0
JE-44,2024-11-13,1198,-9926.77,B,C7,2024-01-01 – 2024-12-31,0,0
JE-45,2024-11-05,1151,1973.94,C,C4,2024-01-01 – 2024-12-31,0,0
JE-45,2024-11-05,1151,-1973.94,C,C4,2024-01-01 – 2024-12-31,0,0
JE-46,2024-11-21,2264,8066.15,D,C7,2024-01-01 – 2024-12-31,0,0
JE-46,2024-11-21,3106,-8066.15,D,C7,2024-01-01 – 2024-12-31,0,0
JE-47,2024-11-16,1000,5796.23,D,C1,2024-01-01 – 2024-12-31,0,0
JE-47,2024-11-16,1000,-5796.23,D,C1,2024-01-01 – 2024-12-31,0,0
JE-48,2024-12-09,1000,9759.71,B,C4,2024-01-01 – 2024-12-31,0,0
JE-48,2024-12-09,1104,-9759.71,B,C4,2024-01-01 – 2024-12-31,0,0
JE-49,2024-09-29,1151,4530.17,G,C5,2024-01-01 – 2024-12-31,0,0
JE-49,2024-09-29,5121,-4530.17,G,C5,2024-01-01 – 2024-12-31,0,0
JE-50,2024-10-02,1151,1103.46,F,C7,2024-01-01 – 2024-12-31,0,0
JE-50,2024-10-02,1104,-1103.46,F,C7,2024-01-01 – 2024-12-31,0,0
JE-51,2024-06-30,5121,3960.77,B,C1,2024-01-01 – 2024-12-31,1,1
JE-51,2024-06-30,4010,-3715.35,B,C1,2024-01-01 – 2024-12-31,1,1
JE-52,2024-03-09,1000,2161.37,A,C2,2024-01-01 – 2024-12-31,0,0
JE-52,2024-03-09,3106,-2161.37,A,C2,2024-01-01 – 2024-12-31,0,0
JE-53,2024-03-31,3106,5319.77,A,C4,2024-01-01 – 2024-12-31,0,0
JE-53,2024-03-31,3106,-5319.77,A,C4,2024-01-01 – 2024-12-31,0,0
JE-54,2024-07-23,5121,6035.05,E,C9,2024-01-01 – 2024-12-31,0,0
JE-54,2024-07-23,3106,-6035.05,E,C9,2024-01-01 – 2024-12-31,0,0
JE-55,2024-12-29,3106,7760.69,C,C7,2024-01-01 – 2024-12-31,0,0
JE-55,2024-12-29,5121,-7760.69,C,C7,2024-01-01 – 2024-12-31,0,0
JE-56,2024-10-16,6061,2485.63,E,C6,2024-01-01 – 2024-12-31,0,0
JE-56,2024-10-16,1104,-2485.63,E,C6,2024-01-01 – 2024-12-31,0,0
JE-57,2024-01-13,1000,3912.07,B,C3,2024-01-01 – 2024-12-31,0,0
JE-57,2024-01-13,5121,-3912.07,B,C3,2024-01-01 – 2024-12-31,0,0
JE-58,2024-10-19,4010,6199.78,F,C1,2024-01-01 – 2024-12-31,0,0
JE-58,2024-10-19,1198,-6199.78,F,C1,2024-01-01 – 2024-12-31,0,0
JE-59,2024-11-24,5121,1186.9,B,C3,2024-01-01 – 2024-12-31,0,0
JE-59,2024-11-24,1151,-1186.9,B,C3,2024-01-01 – 2024-12-31,0,0
JE-60,2024-07-10,2264,9036.91,C,C4,2024-01-01 – 2024-12-31,0,0
JE-60,2024-07-10,5121,-9036.91,C,C4,2024-01-01 – 2024-12-31,0,0
JE-61,2024-08-27,1151,3276.84,F,C1,2024-01-01 – 2024-12-31,0,0
JE-61,2024-08-27,3106,-3276.84,F,C1,2024-01-01 – 2024-12-31,0,0
JE-62,2024-10-07,1104,9032.26,G,C1,2024-01-01 – 2024-12-31,0,0
JE-62,2024-10-07,3106,-9032.26,G,C1,2024-01-01 – 2024-12-31,0,0
JE-63,2024-12-24,1151,5538.67,G,C9,2024-01-01 – 2024-12-31,0,0
JE-63,2024-12-24,1198,-5538.67,G,C9,2024-01-01 – 2024-12-31,0,0
JE-64,2024-05-25,1104,2368.47,A,C9,2024-01-01 – 2024-12-31,0,0
JE-64,2024-05-25,1198,-2368.47,A,C9,2024-01-01 – 2024-12-31,0,0
JE-65,2024-03-09,1000,5160.43,D,C5,2024-01-01 – 2024-12-31,0,0
JE-65,2024-03-09,2264,-5160.43,D,C5,2024-01-01 – 2024-12-31,0,0
JE-66,2024-08-04,1104,6746.28,F,C8,2024-01-01 – 2024-12-31,0,0
JE-66,2024-08-04,4010,-6746.28,F,C8,2024-01-01 – 2024-12-31,0,0
JE-67,2024-08-30,1151,3552.98,C,C8,2024-01-01 – 2024-12-31,0,0
JE-67,2024-08-30,6061,-3552.98,C,C8,2024-01-01 – 2024-12-31,0,0
JE-68,2024-12-26,6061,2191.11,B,C7,2024-01-01 – 2024-12-31,0,0
JE-68,2024-12-26,5121,-2191.11,B,C7,2024-01-01 – 2024-12-31,0,0
JE-69,2024-10-25,1198,2449.15,B,C4,2024-01-01 – 2024-12-31,0,0
JE-69,2024-10-25,4010,-2449.15,B,C4,2024-01-01 – 2024-12-31,0,0
JE-70,2024-10-12,5121,3005.92,C,C9,2024-01-01 – 2024-12-31,0,0
JE-70,2024-10-12,1198,-3005.92,C,C9,2024-01-01 – 2024-12-31,0,0
JE-71,2024-07-17,1151,1081.23,D,C6,2024-01-01 – 2024-12-31,0,0
JE-71,2024-07-17,4010,-1081.23,D,C6,2024-01-01 – 2024-12-31,0,0
JE-72,2024-11-02,1151,3990.64,D,C6,2024-01-01 – 2024-12-31,0,0
JE-72,2024-11-02,4010,-3990.64,D,C6,2024-01-01 – 2024-12-31,0,0
JE-73,2024-01-13,5121,8718.21,F,C2,2024-01-01 – 2024-12-31,0,0
JE-73,2024-01-13,2264,-8718.21,F,C2,2024-01-01 – 2024-12-31,0,0
JE-74,2024-07-25,1151,9115.17,E,C2,2024-01-01 – 2024-12-31,0,0
JE-74,2024-07-25,1104,-9115.17,E,C2,2024-01-01 – 2024-12-31,0,0
JE-75,2024-05-20,3106,9343.55,D,C6,2024-01-01 – 2024-12-31,0,0
JE-75,2024-05-20,3106,-9343.55,D,C6,2024-01-01 – 2024-12-31,0,0
JE-76,2024-01-18,2264,4824.74,G,C4,2024-01-01 – 2024-12-31,1,1
JE-76,2024-01-18,4010,-5316.49,G,C4,2024-01-01 – 2024-12-31,1,1
JE-77,2024-02-03,5121,3914.22,C,C2,2024-01-01 – 2024-12-31,0,0
JE-77,2024-02-03,1000,-3914.22,C,C2,2024-01-01 – 2024-12-31,0,0
JE-78,2024-01-06,1000,9330.11,A,C4,2024-01-01 – 2024-12-31,1,1
JE-78,2024-01-06,1151,-9512.720000000001,A,C4,2024-01-01 – 2024-12-31,1,1
JE-79,2024-04-07,1151,7481.57,F,C6,2024-01-01 – 2024-12-31,0,0
JE-79,2024-04-07,1000,-7481.57,F,C6,2024-01-01 – 2024-12-31,0,0
JE-80,2024-02-16,1000,5486.18,G,C9,2024-01-01 – 2024-12-31,0,0
JE-80,2024-02-16,2264,-5486.18,G,C9,2024-01-01 – 2024-12-31,0,0
JE-81,2024-08-12,1151,5342.56,A,C5,2024-01-01 – 2024-12-31,0,0
JE-81,2024-08-12,6061,-5342.56,A,C5,2024-01-01 – 2024-12-31,0,0
JE-82,2024-02-11,3106,4027.12,E,C3,2024-01-01 – 2024-12-31,0,0
JE-82,2024-02-11,4010,-4027.12,E,C3,2024-01-01 – 2024-12-31,0,0
JE-83,2024-01-12,1104,8246.56,B,C2,2024-01-01 – 2024-12-31,0,0
JE-83,2024-01-12,1151,-8246.56,B,C2,2024-01-01 – 2024-12-31,0,0
JE-84,2024-07-27,6061,2046.99,E,C4,2024-01-01 – 2024-12-31,0,0
JE-84,2024-07-27,5121,-2046.99,E,C4,2024-01-01 – 2024-12-31,0,0
JE-85,2024-08-17,1000,6950.81,F,C4,2024-01-01 – 2024-12-31,0,0
JE-85,2024-08-17,3106,-6950.81,F,C4,2024-01-01 – 2024-12-31,0,0
JE-86,2024-06-11,6061,7060.9,F,C3,2024-01-01 – 2024-12-31,1,1
JE-86,2024-06-11,6061,-7440.0599999999995,F,C3,2024-01-01 – 2024-12-31,1,1
JE-87,2024-12-09,2264,8481.38,A,C5,2024-01-01 – 2024-12-31,0,0
JE-87,2024-12-09,6061,-8481.38,A,C5,2024-01-01 – 2024-12-31,0,0
JE-88,2024-01-14,5121,1700.42,A,C2,2024-01-01 – 2024-12-31,0,0
JE-88,2024-01-14,1151,-1700.42,A,C2,2024-01-01 – 2024-12-31,0,0
JE-89,2024-07-26,6061,6762.06,A,C9,2024-01-01 – 2024-12-31,0,0
JE-89,2024-07-26,1151,-6762.06,A,C9,2024-01-01 – 2024-12-31,0,0
JE-90,2024-11-09,3106,3716.56,D,C5,2024-01-01 – 2024-12-31,0,0
JE-90,2024-11-09,6061,-3716.56,D,C5,2024-01-01 – 2024-12-31,0,0
JE-91,2024-07-01,1000,4428.96,F,C4,2024-01-01 – 2024-12-31,0,0
JE-91,2024-07-01,1151,-4428.96,F,C4,2024-01-01 – 2024-12-31,0,0
JE-92,2024-03-06,4010,5289.77,G,C1,2024-01-01 – 2024-12-31,0,0
JE-92,2024-03-06,3106,-5289.77,G,C1,2024-01-01 – 2024-12-31,0,0
JE-93,2024-03-29,5121,8710.9,B,C8,2024-01-01 – 2024-12-31,0,0
JE-93,2024-03-29,1104,-8710.9,B,C8,2024-01-01 – 2024-12-31,0,0
JE-94,2024-03-30,5121,9155.68,E,C7,2024-01-01 – 2024-12-31,0,0
JE-94,2024-03-30,4010,-9155.68,E,C7,2024-01-01 – 2024-12-31,0,0
JE-95,2024-02-23,1151,7343.67,A,C1,2024-01-01 – 2024-12-31,0,0
JE-95,2024-02-23,3106,-7343.67,A,C1,2024-01-01 – 2024-12-31,0,0
JE-96,2024-09-02,3106,6248.26,D,C1,2024-01-01 – 2024-12-31,0,0
JE-96,2024-09-02,1000,-6248.26,D,C1,2024-01-01 – 2024-12-31,0,0
JE-97,2024-01-11,6061,6363.63,A,C5,2024-01-01 – 2024-12-31,1,1
JE-97,2024-01-11,1104,-6726.9800000000005,A,C5,2024-01-01 – 2024-12-31,1,1
JE-98,2024-11-12,1151,9011.36,C,C5,2024-01-01 – 2024-12-31,0,0
JE-98,2024-11-12,6061,-9011.36,C,C5,2024-01-01 – 2024-12-31,0,0
JE-99,2024-10-30,3106,9766.12,E,C2,2024-01-01 – 2024-12-31,0,0
JE-99,2024-10-30,3106,-9766.12,E,C2,2024-01-01 – 2024-12-31,0,0
JE-100,2024-09-09,1104,8964.22,A,C6,2024-01-01 – 2024-12-31,0,0
JE-100,2024-09-09,1198,-8964.22,A,C6,2024-01-01 – 2024-12-31,0,0
