JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE
JE-46,2024-12-31,3106,1517.53,C,C3,2024-01-01 – 2024-12-31,0,0
JE-46,2024-12-31,6061,-1517.53,C,C3,2024-01-01 – 2024-12-31,0,0
JE-47,2024-11-05,6061,8996.42,G,C8,2024-01-01 – 2024-12-31,0,0
JE-47,2024-11-05,1151,-8996.42,G,C8,2024-01-01 – 2024-12-31,0,0
JE-48,2024-01-11,1000,7560.64,F,C8,2024-01-01 – 2024-12-31,0,0
JE-48,2024-01-11,1000,-7560.64,F,C8,2024-01-01 – 2024-12-31,0,0
JE-49,2024-09-01,1104,8533.23,D,C8,2024-01-01 – 2024-12-31,0,0
JE-49,2024-09-01,1151,-8533.23,D,C8,2024-01-01 – 2024-12-31,0,0
JE-50,2024-07-05,1104,4842.87,D,C7,2024-01-01 – 2024-12-31,0,0
JE-50,2024-07-05,1000,-4842.87,D,C7,2024-01-01 – 2024-12-31,0,0
JE-51,2024-08-08,4010,5102.93,A,C7,2024-01-01 – 2024-12-31,0,0
JE-51,2024-08-08,6061,-5102.93,A,C7,2024-01-01 – 2024-12-31,0,0
JE-52,2024-06-03,2264,1560.08,B,C6,2024-01-01 – 2024-12-31,0,0
JE-52,2024-06-03,3106,-1560.08,B,C6,2024-01-01 – 2024-12-31,0,0
JE-53,2024-10-18,3106,1766.64,A,C7,2024-01-01 – 2024-12-31,0,0
JE-53,2024-10-18,1151,-1766.64,A,C7,2024-01-01 – 2024-12-31,0,0
JE-54,2024-01-03,1000,6062.95,C,C1,2024-01-01 – 2024-12-31,0,0
JE-54,2024-01-03,1000,-6062.95,C,C1,2024-01-01 – 2024-12-31,0,0
JE-55,2024-11-10,4010,3968.43,C,C9,2024-01-01 – 2024-12-31,0,0
JE-55,2024-11-10,2264,-3968.43,C,C9,2024-01-01 – 2024-12-31,0,0
JE-56,2024-11-25,2264,7728.05,A,C5,2024-01-01 – 2024-12-31,0,0
JE-56,2024-11-25,1104,-7728.05,A,C5,2024-01-01 – 2024-12-31,0,0
JE-57,2024-03-05,3106,3637.62,E,C3,2024-01-01 – 2024-12-31,0,0
JE-57,2024-03-05,5121,-3637.62,E,C3,2024-01-01 – 2024-12-31,0,0
JE-58,2024-01-07,4010,3603.51,F,C6,2024-01-01 – 2024-12-31,0,0
JE-58,2024-01-07,2264,-3603.51,F,C6,2024-01-01 – 2024-12-31,0,0
JE-59,2025-03-06,1151,8490.93,D,C5,2024-01-01 – 2024-12-31,1,3
JE-59,2025-03-06,3106,-8490.93,D,C5,2024-01-01 – 2024-12-31,1,3
JE-60,2024-11-12,3106,6316.98,C,C3,2024-01-01 – 2024-12-31,0,0
JE-60,2024-11-12,3106,-6316.98,C,C3,2024-01-01 – 2024-12-31,0,0
JE-61,2024-09-20,6061,9076.54,G,C4,2024-01-01 – 2024-12-31,0,0
JE-61,2024-09-20,5121,-9076.54,G,C4,2024-01-01 – 2024-12-31,0,0
JE-62,2023-07-12,1151,5856.52,G,C5,2024-01-01 – 2024-12-31,1,3
JE-62,2023-07-12,2264,-5856.52,G,C5,2024-01-01 – 2024-12-31,1,3
JE-63,2024-06-10,1198,5763.29,A,C8,2024-01-01 – 2024-12-31,0,0
JE-63,2024-06-10,1151,-5763.29,A,C8,2024-01-01 – 2024-12-31,0,0
JE-64,2024-12-27,3106,1361.84,G,C2,2024-01-01 – 2024-12-31,0,0
JE-64,2024-12-27,3106,-1361.84,G,C2,2024-01-01 – 2024-12-31,0,0
JE-65,2024-03-20,1104,9078.83,C,C8,2024-01-01 – 2024-12-31,0,0
JE-65,2024-03-20,3106,-9078.83,C,C8,2024-01-01 – 2024-12-31,0,0
JE-66,2024-02-08,1151,9866.29,C,C7,2024-01-01 – 2024-12-31,0,0
JE-66,2024-02-08,5121,-9866.29,C,C7,2024-01-01 – 2024-12-31,0,0
JE-67,2024-02-06,6061,7266.76,D,C5,2024-01-01 – 2024-12-31,0,0
JE-67,2024-02-06,1151,-7266.76,D,C5,2024-01-01 – 2024-12-31,0,0
JE-68,2024-12-31,6061,3169.46,C,C1,2024-01-01 – 2024-12-31,0,0
JE-68,2024-12-31,1104,-3169.46,C,C1,2024-01-01 – 2024-12-31,0,0
JE-69,2024-09-09,5121,9564.97,C,C3,2024-01-01 – 2024-12-31,0,0
JE-69,2024-09-09,3106,-9564.97,C,C3,2024-01-01 – 2024-12-31,0,0
JE-70,2024-03-09,1000,2170.26,C,C9,2024-01-01 – 2024-12-31,0,0
JE-70,2024-03-09,1104,-2170.26,C,C9,2024-01-01 – 2024-12-31,0,0
JE-71,2024-10-23,1000,9078.51,G,C8,2024-01-01 – 2024-12-31,0,0
JE-71,2024-10-23,1151,-9078.51,G,C8,2024-01-01 – 2024-12-31,0,0
JE-72,2024-02-28,6061,8719.89,A,C5,2024-01-01 – 2024-12-31,0,0
JE-72,2024-02-28,1151,-8719.89,A,C5,2024-01-01 – 2024-12-31,0,0
JE-73,2024-02-03,2264,8296.14,B,C1,2024-01-01 – 2024-12-31,0,0
JE-73,2024-02-03,4010,-8296.14,B,C1,2024-01-01 – 2024-12-31,0,0
JE-74,2024-03-04,3106,5056.57,G,C5,2024-01-01 – 2024-12-31,0,0
JE-74,2024-03-04,1151,-5056.57,G,C5,2024-01-01 – 2024-12-31,0,0
JE-75,2024-12-19,1104,5036.58,E,C9,2024-01-01 – 2024-12-31,0,0
JE-75,2024-12-19,1104,-5036.58,E,C9,2024-01-01 – 2024-12-31,0,0
JE-76,2024-08-01,1104,1476.58,E,C9,2024-01-01 – 2024-12-31,0,0
JE-76,2024-08-01,4010,-1476.58,E,C9,2024-01-01 – 2024-12-31,0,0
JE-77,2024-10-14,6061,2548.03,B,C3,2024-01-01 – 2024-12-31,0,0
JE-77,2024-10-14,1000,-2548.03,B,C3,2024-01-01 – 2024-12-31,0,0
JE-78,2024-06-29,5121,1024.27,D,C4,2024-01-01 – 2024-12-31,0,0
JE-78,2024-06-29,3106,-1024.27,D,C4,2024-01-01 – 2024-12-31,0,0
JE-79,2024-04-20,1151,9111.1,E,C1,2024-01-01 – 2024-12-31,0,0
JE-79,2024-04-20,2264,-9111.1,E,C1,2024-01-01 – 2024-12-31,0,0
JE-80,2024-12-20,2264,9862.81,G,C5,2024-01-01 – 2024-12-31,0,0
JE-80,2024-12-20,1104,-9862.81,G,C5,2024-01-01 – 2024-12-31,0,0
JE-81,2024-01-08,3106,1896.98,B,C2,2024-01-01 – 2024-12-31,0,0
JE-81,2024-01-08,1151,-1896.98,B,C2,2024-01-01 – 2024-12-31,0,0
JE-82,2024-11-02,1151,7667.68,D,C6,2024-01-01 – 2024-12-31,0,0
JE-82,2024-11-02,4010,-7667.68,D,C6,2024-01-01 – 2024-12-31,0,0
JE-83,2024-02-27,5121,2857.53,C,C8,2024-01-01 – 2024-12-31,0,0
JE-83,2024-02-27,1104,-2857.53,C,C8,2024-01-01 – 2024-12-31,0,0
JE-84,2024-04-28,1000,6450.48,D,C3,2024-01-01 – 2024-12-31,0,0
JE-84,2024-04-28,1198,-6450.48,D,C3,2024-01-01 – 2024-12-31,0,0
JE-85,2024-04-12,1104,3861.82,A,C8,2024-01-01 – 2024-12-31,0,0
JE-85,2024-04-12,2264,-3861.82,A,C8,2024-01-01 – 2024-12-31,0,0
JE-86,2024-06-04,3106,1621.17,G,C5,2024-01-01 – 2024-12-31,0,0
JE-86,2024-06-04,2264,-1621.17,G,C5,2024-01-01 – 2024-12-31,0,0
JE-87,2024-09-17,1151,7341.22,A,C7,2024-01-01 – 2024-12-31,0,0
JE-87,2024-09-17,1151,-7341.22,A,C7,2024-01-01 – 2024-12-31,0,0
JE-88,2024-06-21,3106,1142.43,G,C3,2024-01-01 – 2024-12-31,0,0
JE-88,2024-06-21,1104,-1142.43,G,C3,2024-01-01 – 2024-12-31,0,0
JE-89,2024-04-16,3106,3330.76,D,C5,2024-01-01 – 2024-12-31,0,0
JE-89,2024-04-16,1000,-3330.76,D,C5,2024-01-01 – 2024-12-31,0,0
JE-90,2024-09-10,1151,1244.87,A,C3,2024-01-01 – 2024-12-31,0,0
JE-90,2024-09-10,1151,-1244.87,A,C3,2024-01-01 – 2024-12-31,0,0
JE-91,2024-12-27,3106,6225.66,D,C9,2024-01-01 – 2024-12-31,0,0
JE-91,2024-12-27,1198,-6225.66,D,C9,2024-01-01 – 2024-12-31,0,0
JE-92,2024-01-06,1151,6102.89,A,C9,2024-01-01 – 2024-12-31,0,0
JE-92,2024-01-06,6061,-6102.89,A,C9,2024-01-01 – 2024-12-31,0,0
JE-93,2024-06-08,1000,3581.79,D,C1,2024-01-01 – 2024-12-31,0,0
JE-93,2024-06-08,1104,-3581.79,D,C1,2024-01-01 – 2024-12-31,0,0
JE-94,2024-03-08,6061,6858.17,F,C1,2024-01-01 – 2024-12-31,0,0
JE-94,2024-03-08,6061,-6858.17,F,C1,2024-01-01 – 2024-12-31,0,0
JE-95,2024-10-19,3106,3349.41,F,C7,2024-01-01 – 2024-12-31,0,0
JE-95,2024-10-19,1151,-3349.41,F,C7,2024-01-01 – 2024-12-31,0,0
JE-96,2024-01-22,1104,8773.6,C,C9,2024-01-01 – 2024-12-31,0,0
JE-96,2024-01-22,4010,-8773.6,C,C9,2024-01-01 – 2024-12-31,0,0
JE-97,2024-10-09,2264,8241.72,A,C5,2024-01-01 – 2024-12-31,0,0
JE-97,2024-10-09,4010,-8241.72,A,C5,2024-01-01 – 2024-12-31,0,0
JE-98,2024-05-05,3106,7380.62,D,C4,2024-01-01 – 2024-12-31,0,0
JE-98,2024-05-05,2264,-7380.62,D,C4,2024-01-01 – 2024-12-31,0,0
JE-99,2024-03-20,1104,9846.53,B,C9,2024-01-01 – 2024-12-31,0,0
JE-99,2024-03-20,1000,-9846.53,B,C9,2024-01-01 – 2024-12-31,0,0
JE-100,2024-04-29,1104,1250.3,D,C6,2024-01-01 – 2024-12-31,0,0
JE-100,2024-04-29,1198,-1250.3,D,C6,2024-01-01 – 2024-12-31,0,0
