JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE,ACCOUNT_DC
JE-5,2018-10-20,3150,20648.74,2,5,2018-10-01 – 2019-09-28,0,0,3150_D
JE-6,2018-08-05,1193,6784.39,6,3,2018-08-01 – 2019-07-28,0,0,1193_D
JE-6,2018-08-05,3176,-17419.31,6,3,2018-08-01 – 2019-07-28,0,0,3176_C
JE-6,2018-08-05,3157,-20063.44,6,3,2018-08-01 – 2019-07-28,0,0,3157_C
JE-6,2018-08-05,1178,17419.31,6,3,2018-08-01 – 2019-07-28,0,0,1178_D
JE-6,2018-08-05,2219,20063.44,6,3,2018-08-01 – 2019-07-28,0,0,2219_D
JE-6,2018-08-05,3153,-6784.39,6,3,2018-08-01 – 2019-07-28,0,0,3153_C
JE-7,2018-11-10,2161,14608.51,2,7,2018-11-01 – 2019-10-28,0,0,2161_D
JE-7,2018-11-10,2234,-14608.51,2,7,2018-11-01 – 2019-10-28,0,0,2234_C
JE-8,2018-09-01,2208,38759.84,6,7,2018-09-01 – 2019-08-28,0,0,2208_D
JE-8,2018-09-01,2100,37644.51,6,7,2018-09-01 – 2019-08-28,0,0,2100_D
JE-8,2018-09-01,2189,-37644.51,6,7,2018-09-01 – 2019-08-28,0,0,2189_C
JE-8,2018-09-01,2108,-38759.84,6,7,2018-09-01 – 2019-08-28,0,0,2108_C
JE-9,2019-05-12,3162,-19529.15,7,5,2019-05-01 – 2020-04-28,0,0,3162_C
JE-9,2019-05-12,2296,19529.15,7,5,2019-05-01 – 2020-04-28,0,0,2296_D
JE-10,2019-04-08,2228,-34791.09,7,4,2019-04-01 – 2020-03-28,0,0,2228_C
JE-10,2019-04-08,2211,35308.51,7,4,2019-04-01 – 2020-03-28,0,0,2211_D
JE-10,2019-04-08,1149,-35308.51,7,4,2019-04-01 – 2020-03-28,0,0,1149_C
JE-10,2019-04-08,2270,34791.09,7,4,2019-04-01 – 2020-03-28,0,0,2270_D
JE-11,2019-07-15,3181,-11452.22,7,8,2019-07-01 – 2020-06-28,0,0,3181_C
JE-11,2019-07-15,2219,-21761.87,7,8,2019-07-01 – 2020-06-28,0,0,2219_C
JE-11,2019-07-15,2109,-31569.44,7,8,2019-07-01 – 2020-06-28,0,0,2109_C
JE-11,2019-07-15,3134,21761.87,7,8,2019-07-01 – 2020-06-28,0,0,3134_D
JE-11,2019-07-15,1195,11452.22,7,8,2019-07-01 – 2020-06-28,0,0,1195_D
JE-11,2019-07-15,2298,31569.44,7,8,2019-07-01 – 2020-06-28,0,0,2298_D
JE-12,2018-11-02,3185,-13730.71,4,7,2018-11-01 – 2019-10-28,0,0,3185_C
JE-12,2018-11-02,2251,13730.71,4,7,2018-11-01 – 2019-10-28,0,0,2251_D
JE-13,2019-12-06,3159,-2854.88,3,1,2019-12-01 – 2020-11-28,0,0,3159_C
JE-13,2019-12-06,2209,2854.88,3,1,2019-12-01 – 2020-11-28,0,0,2209_D
JE-14,2019-09-28,3155,3290.23,3,9,2019-09-01 – 2020-08-28,0,0,3155_D
JE-14,2019-09-28,3117,-3290.23,3,9,2019-09-01 – 2020-08-28,0,0,3117_C
JE-15,2019-04-16,2245,-14123.19,4,6,2019-04-01 – 2020-03-28,0,0,2245_C
JE-15,2019-04-16,2229,-45535.15,4,6,2019-04-01 – 2020-03-28,0,0,2229_C
JE-15,2019-04-16,2270,45535.15,4,6,2019-04-01 – 2020-03-28,0,0,2270_D
JE-15,2019-04-16,2220,14123.19,4,6,2019-04-01 – 2020-03-28,0,0,2220_D
JE-15,2019-04-16,3206,-24418.48,4,6,2019-04-01 – 2020-03-28,0,0,3206_C
JE-15,2019-04-16,2211,24418.48,4,6,2019-04-01 – 2020-03-28,0,0,2211_D
JE-16,2019-12-12,2252,-1065.9,3,8,2019-12-01 – 2020-11-28,0,0,2252_C
JE-16,2019-12-12,3216,-9085.44,3,8,2019-12-01 – 2020-11-28,0,0,3216_C
JE-16,2019-12-12,3127,-40911.12,3,8,2019-12-01 – 2020-11-28,0,0,3127_C
JE-16,2019-12-12,2276,1065.9,3,8,2019-12-01 – 2020-11-28,0,0,2276_D
JE-16,2019-12-12,1188,9085.44,3,8,2019-12-01 – 2020-11-28,0,0,1188_D
JE-16,2019-12-12,1103,40911.12,3,8,2019-12-01 – 2020-11-28,0,0,1103_D
JE-17,2018-01-17,2121,-28251.23,5,5,2018-01-01 – 2019-12-28,0,0,2121_C
JE-17,2018-01-17,3184,28251.23,5,5,2018-01-01 – 2019-12-28,0,0,3184_D
JE-18,2019-07-04,3151,-3540.2,1,4,2019-07-01 – 2020-06-28,0,0,3151_C
JE-18,2019-07-04,2242,9749.87,1,4,2019-07-01 – 2020-06-28,0,0,2242_D
JE-18,2019-07-04,1104,-22366.99,1,4,2019-07-01 – 2020-06-28,0,0,1104_C
JE-18,2019-07-04,3130,3540.2,1,4,2019-07-01 – 2020-06-28,0,0,3130_D
JE-18,2019-07-04,2107,-9749.87,1,4,2019-07-01 – 2020-06-28,0,0,2107_C
JE-18,2019-07-04,3162,22366.99,1,4,2019-07-01 – 2020-06-28,0,0,3162_D
JE-19,2019-12-20,3141,-14791.03,5,9,2019-12-01 – 2020-11-28,0,0,3141_C
JE-19,2019-12-20,1119,14791.03,5,9,2019-12-01 – 2020-11-28,0,0,1119_D
JE-19,2019-12-20,1176,9555.42,5,9,2019-12-01 – 2020-11-28,0,0,1176_D
JE-19,2019-12-20,3126,-9555.42,5,9,2019-12-01 – 2020-11-28,0,0,3126_C
JE-19,2019-12-20,2106,-49356.68,5,9,2019-12-01 – 2020-11-28,0,0,2106_C
JE-19,2019-12-20,2207,49356.68,5,9,2019-12-01 – 2020-11-28,0,0,2207_D
JE-20,2019-07-10,3123,46586.18,2,8,2019-07-01 – 2020-06-28,0,0,3123_D
JE-20,2019-07-10,1143,-11934.84,2,8,2019-07-01 – 2020-06-28,0,0,1143_C
JE-20,2019-07-10,2125,11934.84,2,8,2019-07-01 – 2020-06-28,0,0,2125_D
JE-20,2019-07-10,2144,-46586.18,2,8,2019-07-01 – 2020-06-28,0,0,2144_C
JE-21,2019-06-24,2220,47405.63,2,6,2019-06-01 – 2020-05-28,0,0,2220_D
JE-21,2019-06-24,3213,-47405.63,2,6,2019-06-01 – 2020-05-28,0,0,3213_C
JE-21,2019-06-24,3207,19658.79,2,6,2019-06-01 – 2020-05-28,0,0,3207_D
JE-21,2019-06-24,1186,29872.47,2,6,2019-06-01 – 2020-05-28,0,0,1186_D
JE-21,2019-06-24,3137,-29872.47,2,6,2019-06-01 – 2020-05-28,0,0,3137_C
JE-21,2019-06-24,3173,-19658.79,2,6,2019-06-01 – 2020-05-28,0,0,3173_C
JE-22,2019-12-29,1124,21337.74,5,2,2019-12-01 – 2020-11-28,0,0,1124_D
JE-22,2019-12-29,2161,-35950.02,5,2,2019-12-01 – 2020-11-28,0,0,2161_C
JE-22,2019-12-29,2244,35950.02,5,2,2019-12-01 – 2020-11-28,0,0,2244_D
JE-22,2019-12-29,3138,-1751.48,5,2,2019-12-01 – 2020-11-28,0,0,3138_C
JE-22,2019-12-29,2225,1751.48,5,2,2019-12-01 – 2020-11-28,0,0,2225_D
JE-22,2019-12-29,1108,-21337.74,5,2,2019-12-01 – 2020-11-28,0,0,1108_C
JE-23,2019-04-27,3148,-3883.61,7,3,2019-04-01 – 2020-03-28,0,0,3148_C
JE-23,2019-04-27,3104,3883.61,7,3,2019-04-01 – 2020-03-28,0,0,3104_D
JE-24,2018-10-26,2153,6746.78,4,2,2018-10-01 – 2019-09-28,0,0,2153_D
JE-24,2018-10-26,1140,2158.32,4,2,2018-10-01 – 2019-09-28,0,0,1140_D
JE-24,2018-10-26,1163,-2158.32,4,2,2018-10-01 – 2019-09-28,0,0,1163_C
JE-24,2018-10-26,3225,-6746.78,4,2,2018-10-01 – 2019-09-28,0,0,3225_C
JE-25,2019-12-21,2268,33908.36,2,8,2019-12-01 – 2020-11-28,0,0,2268_D
JE-25,2019-12-21,3200,-5824.75,2,8,2019-12-01 – 2020-11-28,0,0,3200_C
JE-25,2019-12-21,3161,5824.75,2,8,2019-12-01 – 2020-11-28,0,0,3161_D
JE-25,2019-12-21,2253,18127.11,2,8,2019-12-01 – 2020-11-28,0,0,2253_D
JE-25,2019-12-21,2223,-18127.11,2,8,2019-12-01 – 2020-11-28,0,0,2223_C
JE-25,2019-12-21,2131,-33908.36,2,8,2019-12-01 – 2020-11-28,0,0,2131_C
JE-26,2018-02-09,2269,14783.28,7,8,2018-02-01 – 2019-01-28,0,0,2269_D
JE-26,2018-02-09,2139,-14783.28,7,8,2018-02-01 – 2019-01-28,0,0,2139_C
JE-27,2019-03-25,2202,28354.82,5,1,2019-03-01 – 2020-02-28,0,0,2202_D
JE-27,2019-03-25,2146,-48218.17,5,1,2019-03-01 – 2020-02-28,0,0,2146_C
JE-27,2019-03-25,3213,-21720.08,5,1,2019-03-01 – 2020-02-28,0,0,3213_C
JE-27,2019-03-25,1184,-28354.82,5,1,2019-03-01 – 2020-02-28,0,0,1184_C
JE-27,2019-03-25,3148,21720.08,5,1,2019-03-01 – 2020-02-28,0,0,3148_D
JE-27,2019-03-25,1110,48218.17,5,1,2019-03-01 – 2020-02-28,0,0,1110_D
JE-28,2018-01-24,1158,-44005.97,1,3,2018-01-01 – 2019-12-28,0,0,1158_C
JE-28,2018-01-24,1120,44005.97,1,3,2018-01-01 – 2019-12-28,0,0,1120_D
JE-28,2018-01-24,3114,-39866.85,1,3,2018-01-01 – 2019-12-28,0,0,3114_C
JE-28,2018-01-24,3119,39866.85,1,3,2018-01-01 – 2019-12-28,0,0,3119_D
JE-29,2018-06-06,2171,18932.82,4,8,2018-06-01 – 2019-05-28,0,0,2171_D
JE-29,2018-06-06,2263,-40645.97,4,8,2018-06-01 – 2019-05-28,0,0,2263_C
JE-29,2018-06-06,2118,40645.97,4,8,2018-06-01 – 2019-05-28,0,0,2118_D
JE-29,2018-06-06,2234,-18932.82,4,8,2018-06-01 – 2019-05-28,0,0,2234_C
JE-30,2018-09-27,2214,-3090.51,2,3,2018-09-01 – 2019-08-28,0,0,2214_C
JE-30,2018-09-27,1156,25430.77,2,3,2018-09-01 – 2019-08-28,0,0,1156_D
JE-30,2018-09-27,3155,-25430.77,2,3,2018-09-01 – 2019-08-28,0,0,3155_C
JE-30,2018-09-27,2122,3090.51,2,3,2018-09-01 – 2019-08-28,0,0,2122_D
JE-31,2018-06-20,2113,-8996.71,5,7,2018-06-01 – 2019-05-28,0,0,2113_C
JE-31,2018-06-20,2188,8996.71,5,7,2018-06-01 – 2019-05-28,0,0,2188_D
JE-31,2018-06-20,3214,-42570.4,5,7,2018-06-01 – 2019-05-28,0,0,3214_C
JE-31,2018-06-20,2137,42570.4,5,7,2018-06-01 – 2019-05-28,0,0,2137_D
JE-31,2018-06-20,3173,-17292.67,5,7,2018-06-01 – 2019-05-28,0,0,3173_C
JE-31,2018-06-20,2164,17292.67,5,7,2018-06-01 – 2019-05-28,0,0,2164_D
JE-32,2018-01-01,2275,15273.26,7,3,2018-01-01 – 2019-12-28,0,0,2275_D
JE-32,2018-01-01,2147,-42613.05,7,3,2018-01-01 – 2019-12-28,0,0,2147_C
JE-32,2018-01-01,2109,-15273.26,7,3,2018-01-01 – 2019-12-28,0,0,2109_C
JE-32,2018-01-01,3119,23696.41,7,3,2018-01-01 – 2019-12-28,0,0,3119_D
JE-32,2018-01-01,3117,-23696.41,7,3,2018-01-01 – 2019-12-28,0,0,3117_C
JE-32,2018-01-01,1147,42613.05,7,3,2018-01-01 – 2019-12-28,0,0,1147_D
JE-33,2019-10-09,3110,-20267.15,1,1,2019-10-01 – 2020-09-28,0,0,3110_C
JE-33,2019-10-09,2242,-13440.74,1,1,2019-10-01 – 2020-09-28,0,0,2242_C
JE-33,2019-10-09,3198,13440.74,1,1,2019-10-01 – 2020-09-28,0,0,3198_D
JE-33,2019-10-09,1161,20267.15,1,1,2019-10-01 – 2020-09-28,0,0,1161_D
JE-34,2019-11-22,2165,11630.8,3,2,2019-11-01 – 2020-10-28,0,0,2165_D
JE-34,2019-11-22,2251,16624.3,3,2,2019-11-01 – 2020-10-28,0,0,2251_D
JE-34,2019-11-22,1131,-16624.3,3,2,2019-11-01 – 2020-10-28,0,0,1131_C
JE-34,2019-11-22,2286,20542.67,3,2,2019-11-01 – 2020-10-28,0,0,2286_D
JE-34,2019-11-22,1172,-11630.8,3,2,2019-11-01 – 2020-10-28,0,0,1172_C
JE-34,2019-11-22,2175,-20542.67,3,2,2019-11-01 – 2020-10-28,0,0,2175_C
JE-35,2018-09-15,2203,-26245.29,5,4,2018-09-01 – 2019-08-28,0,0,2203_C
JE-35,2018-09-15,1110,20627.58,5,4,2018-09-01 – 2019-08-28,0,0,1110_D
JE-35,2018-09-15,3181,-38586.84,5,4,2018-09-01 – 2019-08-28,0,0,3181_C
JE-35,2018-09-15,3170,26245.29,5,4,2018-09-01 – 2019-08-28,0,0,3170_D
JE-35,2018-09-15,2124,-20627.58,5,4,2018-09-01 – 2019-08-28,0,0,2124_C
JE-35,2018-09-15,2225,38586.84,5,4,2018-09-01 – 2019-08-28,0,0,2225_D
JE-36,2019-01-05,3225,-33589.33,4,3,2019-01-01 – 2020-12-28,0,0,3225_C
JE-36,2019-01-05,2259,-12656.29,4,3,2019-01-01 – 2020-12-28,0,0,2259_C
JE-36,2019-01-05,3163,48539.0,4,3,2019-01-01 – 2020-12-28,0,0,3163_D
JE-36,2019-01-05,3205,33589.33,4,3,2019-01-01 – 2020-12-28,0,0,3205_D
JE-36,2019-01-05,2264,12656.29,4,3,2019-01-01 – 2020-12-28,0,0,2264_D
JE-36,2019-01-05,2104,-48539.0,4,3,2019-01-01 – 2020-12-28,0,0,2104_C
JE-37,2018-03-23,3127,17037.05,4,8,2018-03-01 – 2019-02-28,0,0,3127_D
JE-37,2018-03-23,3149,-17037.05,4,8,2018-03-01 – 2019-02-28,0,0,3149_C
JE-38,2018-02-25,2147,6792.39,6,6,2018-02-01 – 2019-01-28,0,0,2147_D
JE-38,2018-02-25,2288,-6792.39,6,6,2018-02-01 – 2019-01-28,0,0,2288_C
JE-39,2019-01-03,2271,14318.58,1,4,2019-01-01 – 2020-12-28,0,0,2271_D
JE-39,2019-01-03,3212,-7727.27,1,4,2019-01-01 – 2020-12-28,0,0,3212_C
JE-39,2019-01-03,2162,-14318.58,1,4,2019-01-01 – 2020-12-28,0,0,2162_C
JE-39,2019-01-03,2123,7727.27,1,4,2019-01-01 – 2020-12-28,0,0,2123_D
JE-40,2018-03-17,2205,-47611.72,2,5,2018-03-01 – 2019-02-28,0,0,2205_C
JE-40,2018-03-17,1123,-21715.83,2,5,2018-03-01 – 2019-02-28,0,0,1123_C
JE-40,2018-03-17,2174,47611.72,2,5,2018-03-01 – 2019-02-28,0,0,2174_D
JE-40,2018-03-17,3218,48758.1,2,5,2018-03-01 – 2019-02-28,0,0,3218_D
JE-40,2018-03-17,3135,-48758.1,2,5,2018-03-01 – 2019-02-28,0,0,3135_C
JE-40,2018-03-17,2296,21715.83,2,5,2018-03-01 – 2019-02-28,0,0,2296_D
JE-41,2019-01-01,2259,42896.03,2,7,2019-01-01 – 2020-12-28,0,0,2259_D
JE-41,2019-01-01,1127,-24939.35,2,7,2019-01-01 – 2020-12-28,0,0,1127_C
JE-41,2019-01-01,1172,24939.35,2,7,2019-01-01 – 2020-12-28,0,0,1172_D
JE-41,2019-01-01,2180,-42896.03,2,7,2019-01-01 – 2020-12-28,0,0,2180_C
JE-42,2019-10-15,2167,-30606.31,6,1,2019-10-01 – 2020-09-28,0,0,2167_C
JE-42,2019-10-15,3227,21432.61,6,1,2019-10-01 – 2020-09-28,0,0,3227_D
JE-42,2019-10-15,3177,-21432.61,6,1,2019-10-01 – 2020-09-28,0,0,3177_C
JE-42,2019-10-15,2107,30606.31,6,1,2019-10-01 – 2020-09-28,0,0,2107_D
JE-43,2018-09-04,2227,3732.54,2,1,2018-09-01 – 2019-08-28,0,0,2227_D
JE-43,2018-09-04,3191,-3732.54,2,1,2018-09-01 – 2019-08-28,0,0,3191_C
JE-44,2018-12-26,2100,21049.67,7,5,2018-12-01 – 2019-11-28,0,0,2100_D
JE-44,2018-12-26,2145,-39768.07,7,5,2018-12-01 – 2019-11-28,0,0,2145_C
JE-44,2018-12-26,1161,39768.07,7,5,2018-12-01 – 2019-11-28,0,0,1161_D
JE-44,2018-12-26,2197,-21049.67,7,5,2018-12-01 – 2019-11-28,0,0,2197_C
JE-45,2019-07-13,2152,-21275.81,4,2,2019-07-01 – 2020-06-28,0,0,2152_C
JE-45,2019-07-13,2124,-8062.44,4,2,2019-07-01 – 2020-06-28,0,0,2124_C
JE-45,2019-07-13,1151,-18066.68,4,2,2019-07-01 – 2020-06-28,0,0,1151_C
JE-45,2019-07-13,2131,8062.44,4,2,2019-07-01 – 2020-06-28,0,0,2131_D
JE-45,2019-07-13,2186,21275.81,4,2,2019-07-01 – 2020-06-28,0,0,2186_D
JE-45,2019-07-13,2170,18066.68,4,2,2019-07-01 – 2020-06-28,0,0,2170_D
JE-46,2019-02-02,3109,-41636.78,3,6,2019-02-01 – 2020-01-28,0,0,3109_C
JE-46,2019-02-02,1122,-42052.85,3,6,2019-02-01 – 2020-01-28,0,0,1122_C
JE-46,2019-02-02,1142,-43145.95,3,6,2019-02-01 – 2020-01-28,0,0,1142_C
JE-46,2019-02-02,1167,43145.95,3,6,2019-02-01 – 2020-01-28,0,0,1167_D
JE-46,2019-02-02,3121,41636.78,3,6,2019-02-01 – 2020-01-28,0,0,3121_D
JE-46,2019-02-02,2273,42052.85,3,6,2019-02-01 – 2020-01-28,0,0,2273_D
JE-47,2018-01-06,3150,36653.55,3,2,2018-01-01 – 2019-12-28,0,0,3150_D
JE-47,2018-01-06,3169,-34133.19,3,2,2018-01-01 – 2019-12-28,0,0,3169_C
JE-47,2018-01-06,1110,-33644.11,3,2,2018-01-01 – 2019-12-28,0,0,1110_C
JE-47,2018-01-06,2154,33644.11,3,2,2018-01-01 – 2019-12-28,0,0,2154_D
JE-47,2018-01-06,1123,-36653.55,3,2,2018-01-01 – 2019-12-28,0,0,1123_C
JE-47,2018-01-06,2116,34133.19,3,2,2018-01-01 – 2019-12-28,0,0,2116_D
JE-48,2018-10-10,2207,-42268.17,6,8,2018-10-01 – 2019-09-28,0,0,2207_C
JE-48,2018-10-10,2277,42268.17,6,8,2018-10-01 – 2019-09-28,0,0,2277_D
JE-49,2018-11-23,3160,-40732.48,5,8,2018-11-01 – 2019-10-28,0,0,3160_C
JE-49,2018-11-23,3207,20115.17,5,8,2018-11-01 – 2019-10-28,0,0,3207_D
JE-49,2018-11-23,3148,40732.48,5,8,2018-11-01 – 2019-10-28,0,0,3148_D
JE-49,2018-11-23,2280,-20115.17,5,8,2018-11-01 – 2019-10-28,0,0,2280_C
JE-50,2019-09-04,2116,-34724.74,5,8,2019-09-01 – 2020-08-28,0,0,2116_C
JE-50,2019-09-04,2203,34724.74,5,8,2019-09-01 – 2020-08-28,0,0,2203_D
JE-51,2019-11-05,1108,14646.07,1,8,2019-11-01 – 2020-10-28,0,0,1108_D
JE-51,2019-11-05,2248,2677.02,1,8,2019-11-01 – 2020-10-28,0,0,2248_D
JE-51,2019-11-05,2106,-35874.46,1,8,2019-11-01 – 2020-10-28,0,0,2106_C
JE-51,2019-11-05,2288,-14646.07,1,8,2019-11-01 – 2020-10-28,0,0,2288_C
JE-51,2019-11-05,2225,-2677.02,1,8,2019-11-01 – 2020-10-28,0,0,2225_C
JE-51,2019-11-05,2134,35874.46,1,8,2019-11-01 – 2020-10-28,0,0,2134_D
JE-52,2019-01-26,1119,-21487.87,7,2,2019-01-01 – 2020-12-28,0,0,1119_C
JE-52,2019-01-26,3141,15446.51,7,2,2019-01-01 – 2020-12-28,0,0,3141_D
JE-52,2019-01-26,2296,-15446.51,7,2,2019-01-01 – 2020-12-28,0,0,2296_C
JE-52,2019-01-26,2247,-9152.58,7,2,2019-01-01 – 2020-12-28,0,0,2247_C
JE-52,2019-01-26,2294,9152.58,7,2,2019-01-01 – 2020-12-28,0,0,2294_D
JE-52,2019-01-26,1197,21487.87,7,2,2019-01-01 – 2020-12-28,0,0,1197_D
JE-53,2018-08-01,3117,-38989.31,6,2,2018-08-01 – 2019-07-28,0,0,3117_C
JE-53,2018-08-01,1123,38989.31,6,2,2018-08-01 – 2019-07-28,0,0,1123_D
JE-53,2018-08-01,2111,17903.52,6,2,2018-08-01 – 2019-07-28,0,0,2111_D
JE-53,2018-08-01,2203,-17903.52,6,2,2018-08-01 – 2019-07-28,0,0,2203_C
JE-53,2018-08-01,3223,10668.67,6,2,2018-08-01 – 2019-07-28,0,0,3223_D
JE-53,2018-08-01,2176,-10668.67,6,2,2018-08-01 – 2019-07-28,0,0,2176_C
JE-54,2019-01-14,3139,-45294.54,4,9,2019-01-01 – 2020-12-28,0,0,3139_C
JE-54,2019-01-14,2144,45294.54,4,9,2019-01-01 – 2020-12-28,0,0,2144_D
JE-55,2019-02-16,3189,-8962.4,3,6,2019-02-01 – 2020-01-28,0,0,3189_C
JE-55,2019-02-16,3180,8962.4,3,6,2019-02-01 – 2020-01-28,0,0,3180_D
JE-55,2019-02-16,3225,-45076.79,3,6,2019-02-01 – 2020-01-28,0,0,3225_C
JE-55,2019-02-16,3212,45076.79,3,6,2019-02-01 – 2020-01-28,0,0,3212_D
JE-56,2019-12-28,2226,2915.4,4,2,2019-12-01 – 2020-11-28,0,0,2226_D
JE-56,2019-12-28,3168,-2915.4,4,2,2019-12-01 – 2020-11-28,0,0,3168_C
JE-56,2019-12-28,3195,1064.03,4,2,2019-12-01 – 2020-11-28,0,0,3195_D
JE-56,2019-12-28,2144,-1064.03,4,2,2019-12-01 – 2020-11-28,0,0,2144_C
JE-57,2018-11-27,3110,-11831.44,2,2,2018-11-01 – 2019-10-28,0,0,3110_C
JE-57,2018-11-27,2174,-27376.6,2,2,2018-11-01 – 2019-10-28,0,0,2174_C
JE-57,2018-11-27,3207,27376.6,2,2,2018-11-01 – 2019-10-28,0,0,3207_D
JE-57,2018-11-27,2130,11831.44,2,2,2018-11-01 – 2019-10-28,0,0,2130_D
JE-57,2018-11-27,3153,44025.88,2,2,2018-11-01 – 2019-10-28,0,0,3153_D
JE-57,2018-11-27,3154,-44025.88,2,2,2018-11-01 – 2019-10-28,0,0,3154_C
JE-58,2019-11-05,1158,-3125.89,5,5,2019-11-01 – 2020-10-28,0,0,1158_C
JE-58,2019-11-05,2166,3125.89,5,5,2019-11-01 – 2020-10-28,0,0,2166_D
JE-59,2019-12-28,2169,-5412.47,2,2,2019-12-01 – 2020-11-28,0,0,2169_C
JE-59,2019-12-28,1163,-4312.41,2,2,2019-12-01 – 2020-11-28,0,0,1163_C
JE-59,2019-12-28,1172,4312.41,2,2,2019-12-01 – 2020-11-28,0,0,1172_D
JE-59,2019-12-28,2180,13328.3,2,2,2019-12-01 – 2020-11-28,0,0,2180_D
JE-59,2019-12-28,1189,5412.47,2,2,2019-12-01 – 2020-11-28,0,0,1189_D
JE-59,2019-12-28,2255,-13328.3,2,2,2019-12-01 – 2020-11-28,0,0,2255_C
JE-60,2019-10-30,3104,37940.2,7,9,2019-10-01 – 2020-09-28,0,0,3104_D
JE-60,2019-10-30,2239,-37940.2,7,9,2019-10-01 – 2020-09-28,0,0,2239_C
JE-61,2019-09-28,3150,28217.7,7,7,2019-09-01 – 2020-08-28,0,0,3150_D
JE-61,2019-09-28,1120,-28217.7,7,7,2019-09-01 – 2020-08-28,0,0,1120_C
JE-62,2019-04-08,2261,-21230.77,6,4,2019-04-01 – 2020-03-28,0,0,2261_C
JE-62,2019-04-08,2221,21230.77,6,4,2019-04-01 – 2020-03-28,0,0,2221_D
JE-62,2019-04-08,3187,31758.72,6,4,2019-04-01 – 2020-03-28,0,0,3187_D
JE-62,2019-04-08,2235,-31758.72,6,4,2019-04-01 – 2020-03-28,0,0,2235_C
JE-63,2019-01-28,1144,21462.5,7,4,2019-01-01 – 2020-12-28,0,0,1144_D
JE-63,2019-01-28,2181,-12770.03,7,4,2019-01-01 – 2020-12-28,0,0,2181_C
JE-63,2019-01-28,2143,12770.03,7,4,2019-01-01 – 2020-12-28,0,0,2143_D
JE-63,2019-01-28,2140,-21462.5,7,4,2019-01-01 – 2020-12-28,0,0,2140_C
JE-64,2019-09-07,2289,31033.21,2,7,2019-09-01 – 2020-08-28,0,0,2289_D
JE-64,2019-09-07,2276,-31033.21,2,7,2019-09-01 – 2020-08-28,0,0,2276_C
JE-65,2019-08-13,3157,-20618.29,4,6,2019-08-01 – 2020-07-28,0,0,3157_C
JE-65,2019-08-13,2101,-47655.66,4,6,2019-08-01 – 2020-07-28,0,0,2101_C
JE-65,2019-08-13,3143,20618.29,4,6,2019-08-01 – 2020-07-28,0,0,3143_D
JE-65,2019-08-13,2296,22727.15,4,6,2019-08-01 – 2020-07-28,0,0,2296_D
JE-65,2019-08-13,1113,-22727.15,4,6,2019-08-01 – 2020-07-28,0,0,1113_C
JE-65,2019-08-13,3115,47655.66,4,6,2019-08-01 – 2020-07-28,0,0,3115_D
JE-66,2019-05-04,2298,18695.64,6,4,2019-05-01 – 2020-04-28,0,0,2298_D
JE-66,2019-05-04,2231,-20119.65,6,4,2019-05-01 – 2020-04-28,0,0,2231_C
JE-66,2019-05-04,3123,-35572.65,6,4,2019-05-01 – 2020-04-28,0,0,3123_C
JE-66,2019-05-04,2133,35572.65,6,4,2019-05-01 – 2020-04-28,0,0,2133_D
